"","FILENAME","FRAME","TIME_MINS","PERIOD","PERIOD_TIME_MINS","LENGTH_MM","PRECISION","RMS_1_MM","RMS_2_MM","RANGE_MM","DIRECTION_DEG","HORZ_DIR_DEG","VERT_DIR_DEG","MID_X_MM","MID_Y_MM","MID_Z_MM","OPCODE","TAPE_READER","DEPTH_NOT_USED","TRIP_COMMENT","YEAR","DIVE_NO","TRANSECT_NO","USER_DEF_4","USER_DEF_5","USER_DEF_6","USER_DEF_7","USER_DEF_8","FAMILY","GENUS","SPECIES","CODE","SPECIMEN_NUMBER","STAGE","ACTIVITY","CHECK_ID","SPECIES_COMMENT","USER_DEF_ATTR"
"61","2012_6738_1_SL.avi",9988,22.0042,NA,NA,NA,35,7.564,NA,4126.815,22.555,NA,NA,1499.809,423.461,-3821.238,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,7,"AD","Fish moving slowly into frame",NA,NA,NA
"62","2012_6738_1_SL.avi",10053,22.0403,NA,NA,598.588,19,1.699,7.796,2504.904,15.343,28.377,5.921,482.437,-506.702,-2405.213,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,7,"AD","Fish moving slowly into frame",NA,NA,NA
"63","2012_6738_1_SL.avi",10414,22.2411,NA,NA,NA,118,1.542,NA,7237.164,24.514,NA,NA,-2875.254,723.061,-6602.018,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,8,NA,NA,NA,NA,NA
"64","2012_6738_1_SL.avi",15715,25.189,NA,NA,NA,20,7.594,NA,3511.292,1.473,NA,NA,-72.259,-130.151,-3508.135,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,9,NA,NA,NA,NA,NA
"65","2012_6738_1_SL.avi",15992,25.343,NA,NA,NA,13,0.25,NA,2404.723,23.854,NA,NA,967.144,53.96,-2201.003,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,10,NA,NA,NA,NA,NA
"66","2012_6738_1_SL.avi",22821,29.1407,NA,NA,NA,18,5.004,NA,2738.767,26.339,NA,NA,-1213.619,7.786,-2455.181,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,27,NA,NA,NA,NA,NA
"67","2012_6738_1_SL.avi",24198,29.9065,NA,NA,559.696,49,5.57,5.403,3900.313,27.469,12.014,19.787,-1625.074,696.732,-3476.513,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,28,"AD","Fish actively swimming within frame",NA,"RMS high 1st site-took 3D later",NA
"68","2012_6738_1_SL.avi",24136,29.872,NA,NA,NA,53,4.637,NA,4685.797,28.792,NA,NA,-1757.957,1325.856,-4136.229,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,28,"AD","Fish actively swimming within frame",NA,"RMS high 1st site-took 3D later",NA
"69","2012_6738_1_SL.avi",24168,29.8898,NA,NA,NA,28,3.476,NA,3823.35,19.019,NA,NA,716.34,940.912,-3635.869,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,29,NA,NA,NA,NA,NA
"70","2012_6738_1_SL.avi",24565,30.1106,NA,NA,NA,20,0.335,NA,2964.093,24.818,NA,NA,-1240.464,-153.791,-2687.647,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,30,NA,NA,NA,NA,NA
"71","2012_6738_1_SL.avi",25019,30.363,NA,NA,NA,46,5.334,NA,4756.047,22.658,NA,NA,1245.046,1248.755,-4417.065,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,31,"AD","Fish actively swimming within frame",NA,NA,NA
"72","2012_6738_1_SL.avi",25062,30.387,NA,NA,460.226,59,5.603,3.61,4011.222,23.733,33.32,8.951,1385.986,748.085,-3689.08,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,31,"AD","Fish actively swimming within frame",NA,NA,NA
"73","2012_6738_1_SL.avi",26192,31.0154,NA,NA,NA,18,0.526,NA,3014.934,19.038,NA,NA,982.099,-10.33,-2850.474,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,32,NA,NA,NA,NA,NA
"74","2012_6738_1_SL.avi",26711,31.304,NA,NA,NA,55,0.121,NA,5054.742,23.683,NA,NA,-1666.207,1059.691,-4653.088,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,33,NA,NA,NA,NA,NA
"75","2012_6738_1_SL.avi",28747,32.4362,NA,NA,NA,29,1.481,NA,4110.018,14.976,NA,NA,346.936,917.588,-3991.229,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,34,NA,NA,NA,NA,NA
"76","2012_6738_1_SL.avi",28885,32.513,NA,NA,NA,22,5.416,NA,3173.263,23.231,NA,NA,-1242.818,85.138,-2918.519,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,35,NA,NA,NA,NA,NA
"77","2012_6738_1_SL.avi",29333,32.7621,NA,NA,NA,35,7.164,NA,3950.16,25.015,NA,NA,-1564.255,508.158,-3591.468,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,36,NA,NA,NA,NA,NA
"78","2012_6738_1_SL.avi",30316,33.3088,NA,NA,NA,27,9.241,NA,3268.874,28.395,NA,NA,-1505.441,325.087,-2883.314,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,37,NA,NA,NA,NA,NA
"79","2012_6738_1_SL.avi",30693,33.5184,NA,NA,NA,55,10.529,NA,4845.713,26.754,NA,NA,-1890.034,995.045,-4349.55,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,38,NA,NA,NA,NA,NA
"80","2012_6738_1_SL.avi",32085,34.2925,NA,NA,NA,25,6.875,NA,3811.994,10.571,NA,NA,-462.544,443.147,-3757.788,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,39,NA,NA,NA,NA,NA
"81","2012_6738_1_SL.avi",32616,34.5878,NA,NA,NA,52,7.941,NA,5153.092,19.716,NA,NA,-1189.147,1162.635,-4877.352,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,40,NA,NA,NA,NA,NA
"82","2012_6738_1_SL.avi",17444,26.1505,NA,NA,NA,22,8.877,NA,3784.716,3.589,NA,NA,202.302,41.393,-3779.079,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,41,NA,NA,NA,NA,NA
"83","2012_6738_1_SL.avi",33758,35.2229,NA,NA,NA,32,4.508,NA,4177.163,16.562,NA,NA,1115.502,329.657,-4011.941,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,42,NA,NA,NA,NA,NA
"84","2012_6738_1_SL.avi",36232,36.5987,NA,NA,NA,18,4.654,NA,3366.665,5.875,NA,NA,-49.987,268.319,-3355.583,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,43,NA,NA,NA,NA,NA
"85","2012_6738_1_SL.avi",39138,38.2148,NA,NA,NA,13,0.139,NA,2616.724,13.925,NA,NA,595.834,-258.719,-2534.816,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,44,NA,NA,NA,NA,NA
"86","2012_6738_1_SL.avi",40088,38.7431,NA,NA,NA,13,0.805,NA,2485.543,19.765,NA,NA,-813.584,-261.666,-2333.995,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,45,NA,NA,NA,NA,NA
"87","2012_6738_1_SL.avi",45146,41.5559,NA,NA,NA,16,12.453,NA,3001.341,14.84,NA,NA,173.531,685.817,-2916.777,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,46,NA,NA,NA,NA,NA
