"","filename","frame","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive","transect_number","dive_type","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss","mgmt_area","time_mins","period_time_mins","rms_2_mm","time_akdt","dive_no","transect_no"
"29","2012_6736_2_SL.avi","3407",NA,NA,NA,501.21,21,3.228,"4158.951","15.906","4.27",13.413,"726.707","791.256","-4017.796","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","yelloweye","145","145","2","AD","Fish milling",NA,NA,NA,"CSEO","18.3444",NA,"1.201",NA,"6736","2"
"30","2012_6736_2_SL.avi","3350",NA,NA,NA,NA,45,0.405,"4919.137","21.339",NA,NA,"552.849","1602.824","-4617.707","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","yelloweye","145","145","2","AD","Fish milling",NA,NA,NA,"CSEO","18.3127",NA,NA,NA,"6736","2"
"31","2012_6736_2_SL.avi","3367",NA,NA,NA,NA,39,2.509,"4675.368","21.136",NA,NA,"282.702","1567.074","-4395.842","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","yelloweye","145","145","4","AD","Fish milling",NA,NA,NA,"CSEO","18.3222",NA,NA,NA,"6736","2"
"32","2012_6736_2_SL.avi","3466",NA,NA,NA,404.517,31,1.443,"3650.085","11.209","22.665",4.656,"329.352","550.723","-3593.237","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","yelloweye","145","145","4","AD","Fish milling",NA,NA,NA,"CSEO","18.3772",NA,"1.638",NA,"6736","2"
"33","2012_6736_2_SL.avi","3978",NA,NA,NA,NA,21,1.55,"3283.727","16.643",NA,NA,"-936.652","16.355","-3147.265","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","yelloweye","145","145","5","AD","Fish seeking cover",NA,"No length in crack",NA,"CSEO","18.6619",NA,NA,NA,"6736","2"
"34","2012_6736_2_SL.avi","4969",NA,NA,NA,NA,25,5.636,"3713.055","10.926",NA,NA,"-477.642","-595.748","-3633.692","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","6",NA,NA,NA,NA,NA,"CSEO","19.213",NA,NA,NA,"6736","2"
"35","2012_6736_2_SL.avi","9676",NA,NA,NA,NA,44,7.071,"4656.882","22.06",NA,NA,"-1173.051","1203.481","-4343.056","1","Jenny Stahl","0",NA,"2012","6736","2","Line","skate","skate","700","700","7",NA,NA,NA,"length is wing span",NA,"CSEO","21.8307",NA,NA,NA,"6736","2"
"36","2012_6736_2_SL.avi","9779",NA,NA,NA,918.229,49,2.138,"3187.085","9.466","69.565",32.83,"-521.093","-11.58","-3144.175","1","Jenny Stahl","0",NA,"2012","6736","2","Line","skate","skate","700","700","7",NA,NA,NA,"length is wing span",NA,"CSEO","21.8879",NA,"2.867",NA,"6736","2"
"37","2012_6736_2_SL.avi","15721",NA,NA,NA,NA,28,6.371,"4181.317","7.498",NA,NA,"371.621","309.631","-4153.245","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","8",NA,NA,NA,NA,NA,"CSEO","25.1923",NA,NA,NA,"6736","2"
"38","2012_6736_2_SL.avi","23608",NA,NA,NA,NA,19,1.246,"3116.32","23.872",NA,NA,"622.72","1034.674","-2872.824","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","dusky","172","172","9",NA,NA,NA,NA,NA,"CSEO","29.5784",NA,NA,NA,"6736","2"
"39","2012_6736_2_SL.avi","24608",NA,NA,NA,NA,33,0.715,"4162.779","18.84",NA,NA,"1253.847","399.141","-3949.34","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","10",NA,NA,NA,NA,NA,"CSEO","30.1345",NA,NA,NA,"6736","2"
"40","2012_6736_2_SL.avi","24843",NA,NA,NA,NA,39,4.89,"4882.685","12.2",NA,NA,"167.939","914.443","-4793.35","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","11",NA,NA,NA,NA,NA,"CSEO","30.2652",NA,NA,NA,"6736","2"
"41","2012_6736_2_SL.avi","24887",NA,NA,NA,NA,47,1.138,"4709.184","22.581",NA,NA,"-1505.612","907.015","-4368.852","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","quillback","147","147","12",NA,NA,NA,NA,NA,"CSEO","30.2896",NA,NA,NA,"6736","2"
