Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2018SSEO_Dive_13_14-30-46.000.avi,235,14:30:55,52255,,,410,657,QC,amy,,,2018,13,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,14:30:55
SL_2018SSEO_Dive_13_14-30-46.000.avi,27852,14:46:15,53175,,,487,737,QC,amy,,,2018,13,,,,,,,Bad,resting on bottom,BRB,BRB,2,AD,Passing,,,14:46:16
SL_2018SSEO_Dive_13_14-30-46.000.avi,29731,14:47:18,53238,,,713,692,QC,amy,,,2018,13,,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,,14:47:18
SL_2018SSEO_Dive_13_14-30-46.000.avi,48085,14:57:30,53850,,,538,799,QC,amy,,,2018,13,,,,,,,Bad,loitering in same area,BLA,BLA,5,AD,Passing,,,
SL_2018SSEO_Dive_13_14-30-46.000.avi,48500,14:57:44,53864,,,582,832,QC,amy,,,2018,13,,,,,,,Bad,resting on bottom,BRB,BRB,6,AD,Passing,,,14:57:44
SL_2018SSEO_Dive_13_14-30-46.000.avi,52217,14:59:48,53988,,,648,810,QC,amy,,,2018,13,,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,14:59:48
SL_2018SSEO_Dive_13_14-30-46.000.avi,62933,15:05:45,54345,,,551,799,QC,amy,,,2018,13,,,,,,,Bad,going over drop-off,BDO,BDO,9,AD,Passing,,,
SL_2018SSEO_Dive_13_14-30-46.000.avi,63875,15:06:16,54376,,,551,799,QC,amy,,,2018,13,,,,,,,Good,Good Going Forward,GGF,GGF,11,AD,Passing,,can see in belly,
SL_2018SSEO_Dive_13_14-30-46.000.avi,64028,15:06:21,54381,,,431,731,QC,amy,,,2018,13,,,,,,,Good,Good Going Forward,GGF,GGF,12,AD,Passing,,,15:06:21
SL_2018SSEO_Dive_13_14-30-46.000.avi,87969,15:19:39,55179,,,476,717,QC,amy,,,2018,13,,,,,,,Good,Good Going Forward,GGF,GGF,13,AD,Passing,END,,15:19:39
SL_2018SSEO_Dive_14_15-54-22.000.avi,168,15:55:23,57323,,,387,771,QC,amy,,,2018,14,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,15:55:23
SL_2018SSEO_Dive_14_15-54-22.000.avi,87152,16:43:42,60222,,,551,799,QC,amy,,,2018,14,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,END,,16:43:42
