Filename,Frame,Time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_01_07-36-31.000.avi,28554,7:52:25,185.788,45.664,2.464,3990.835,26.7,27.95,17.084,462.128,1732.58,-3565.301,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,39,JV,Fish resting on bottom,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,28764,7:52:32,,44.375,0.146,4324.85,21.726,,,-1151.898,1095.669,-4022.06,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,dusky,172,172,40,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,28908,7:52:37,,47.768,0.831,4606.445,15.752,,,998.389,735.28,-4436.431,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,41,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,29013,7:52:40,,42.001,0.937,4267.282,27.224,,,-1827.506,671.15,-3797.298,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,42,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,29094,7:52:43,,24.067,0.586,3326.047,24.177,,,1362.15,-1.623,-3034.326,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,43,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,30654,7:53:35,375.834,120.633,0.509,6196.63,26.414,18.057,1.956,2499.955,1161.409,-5549.736,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,44,SU,Fish resting on bottom,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,36718,7:56:57,,50.138,0.228,4723.232,15.928,,,766.125,1027.389,-4546.036,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,45,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,39210,7:58:20,,34.786,0.453,3967.688,30.535,,,1898.642,663.645,-3420.129,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,46,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,40153,7:58:51,,84.603,2.466,6004.609,24.3,,,-2233.593,1034.952,-5476.794,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,47,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,42081,7:59:56,,9.079,0.036,1955.475,28.024,,,718.9,565.181,-1728.478,1,KelliiWood,45,N/A,2019,1,5,Line,,,,,48,,,,PYROSOME,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,43365,8:00:38,,28.215,0.46,3652.55,30.129,,,-1827.576,-158.835,-3158.458,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,49,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,43518,8:00:44,,45.084,0.762,4582.199,21.393,,,-75.089,1652.656,-4273.13,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,50,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,44018,8:01:00,,47.272,1.897,4492.636,23.734,,,-1645.715,732.797,-4115.63,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,tiger,148,148,51,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,46923,8:02:37,,26.332,0.56,3421.265,20.499,,,1161.351,281.727,-3205.767,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,52,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,48361,8:03:25,,39.817,0.257,4201.544,20.611,,,1424.703,381.382,-3934.177,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,53,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,48431,8:03:27,570.877,122.587,3.805,5898.768,33.018,37.474,11.452,2264.962,2280.605,-4946.135,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,54,AD,Fish actively swimming in frame,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,48602,8:03:33,636.262,136.012,3.137,5484.663,23.339,46.158,12.876,-755.318,2037.365,-5035.888,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,55,AD,Attracted,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,49401,8:04:00,,43.166,0.932,4341.177,25.073,,,1741.609,576.843,-3934.446,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,56,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,49775,8:04:12,,34.713,2.302,3983.088,26.734,,,1772.392,248.677,-3558.339,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,57,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,50170,8:04:25,,72.307,0.547,5524.235,21.958,,,-1368.585,1526.708,-5129.65,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,58,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,50669,8:04:42,,52.538,0.074,4847.062,27.405,,,2156.02,556.387,-4305.348,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,59,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,50950,8:04:51,604.595,72.871,0.208,6195.438,25.049,7.9,33.749,-1137.828,2363.463,-5612.739,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,60,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,52499,8:05:43,,45.174,0.381,4509.13,27.683,,,-2053.38,398.903,-3994.591,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,61,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,53978,8:06:32,,78.82,1.545,6127.151,14.358,,,-1519.043,8.155,-5935.859,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,62,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,55886,8:07:36,,12.264,0.184,2261.304,22.505,,,-650.24,-579.616,-2086.799,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,63,,,,NO LENGTH; wrong angle,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,56075,8:07:42,,34.809,0.954,3874.1,19.997,,,-1219.53,-532.197,-3638.429,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,64,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,56336,8:07:51,,35.063,1.56,4014.909,21.775,,,1488.459,37.682,-3728.614,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,65,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,57291,8:08:23,,38.555,1.254,4215.768,12.648,,,-544.948,728.637,-4116.409,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,66,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,58280,8:08:56,,105.97,0.481,6817.204,19.211,,,-1000.666,1981.815,-6445.568,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,67,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,59113,8:09:23,,39.18,0.3,4244.147,21.821,,,1577.515,-30.35,-3939.963,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,68,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,60859,8:10:22,,98.709,4.731,6457.986,25.541,,,-2421.956,1350.386,-5832.338,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,69,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,61245,8:10:34,,57.985,0.229,5290.885,12.221,,,-1114.575,89.724,-5171.377,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,70,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,61533,8:10:44,,41.106,1.573,4424.305,9.597,,,-616.581,-422.332,-4360.727,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,71,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,61533,8:10:44,,49.87,1.24,4759.305,29.865,,,-2299.089,558.746,-4129.525,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,72,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,61810,8:10:53,,30.574,0.101,4018.644,3.237,,,144.526,-191.021,-4011.498,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,73,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,62619,8:11:20,,67.353,1.421,5607.611,35.9,,,-2645.447,1934.566,-4550.205,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,silvergray,157,157,74,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,64445,8:12:21,,78.046,2.503,5722.344,25.894,,,1663.562,1844.221,-5155.253,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,75,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,64738,8:12:31,,56.192,2.57,4902.945,21.091,,,1015.667,1424.333,-4580.237,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,dusky,172,172,76,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,65079,8:12:42,,60.607,0.467,5280.408,18.271,,,311.285,1605.859,-5020.66,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,77,,,,NO LENGTH; facing ROV,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,65645,8:13:01,,23.965,2.815,3294.734,33.191,,,1539.985,927.844,-2760.946,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,78,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,65645,8:13:01,,77.744,2.492,5715.517,22.758,,,-1507.281,1596.526,-5276.964,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,79,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,66522,8:13:30,,36.262,1.489,4003.056,28.277,,,-1814.667,536.615,-3527.532,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,80,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,66854,8:13:41,,43.351,0.83,4467.348,14.181,,,1024.192,368.381,-4332.727,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,81,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,67696,8:14:09,,62.442,0.396,5438.77,11.874,,,-1057.483,344.885,-5323.815,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,82,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,68083,8:14:22,,62.967,3.813,5230.475,22.351,,,-1881.224,626.628,-4840.062,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,silvergray,157,157,83,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,68083,8:14:22,,81.046,1.108,5876.995,22.1,,,1882.786,1137.47,-5449.803,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,84,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,68238,8:14:28,269.939,81.634,4.321,5190.091,27.762,9.16,9.988,2365.218,500.134,-4592.674,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,85,JV,Fish milling/hovering,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,68952,8:14:51,,48.592,2.924,4849.67,12.183,,,1023.404,-14.822,-4740.435,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,86,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,69623,8:15:14,,46.292,0.515,4602.955,27.12,,,2072.807,309.478,-4098.157,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,87,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,70681,8:15:49,,58.577,1.76,5211.477,30.647,,,2571.91,647.355,-4486.168,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,88,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,71144,8:16:04,,81.023,0.85,5923.754,25.76,,,2383.945,950.714,-5338.896,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,89,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,72333,8:16:44,,67.541,0.19,5464.905,16.606,,,-1358.973,748.701,-5240.022,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,90,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,72602,8:16:53,,46.159,0.479,4746.529,32.895,,,2516.956,540.895,-3987.719,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,91,,,,NO LENGTH; too dark,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,72809,8:17:00,,48.373,1.668,4639.633,29.356,,,-2167.945,671.764,-4046.596,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,92,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,73383,8:17:19,,44.282,0.572,4462.206,20.787,,,-1572.757,-201.833,-4170.968,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,93,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,74506,8:17:56,218.597,81.069,2.054,4989.882,32.038,15.524,11.935,-2578.343,599.138,-4229.906,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,94,JV,Fish milling/hovering,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,74849,8:18:08,,30.356,0.328,3686.458,23.416,,,-1447.916,209.452,-3383.732,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,95,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,75589,8:18:33,,44.66,0.157,4652.279,10.302,,,816.825,-176.526,-4576.607,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,96,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,75834,8:18:41,,13.491,0.284,2441.382,14.886,,,451.281,-444.992,-2357.684,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,97,,,,NO LENGTH; wrong angle,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,75970,8:18:45,,69.915,1.101,5458.965,21.894,,,1726.535,1058.093,-5069.499,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,98,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,75991,8:18:46,,73.96,0.339,5773.23,29.875,,,-2764.51,771.945,-5009.168,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,99,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,76357,8:18:58,765.355,111.558,0.886,4457.93,13.451,52.12,7.21,-810.862,646.424,-4335.64,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,100,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,76564,8:19:05,107.558,54.437,0.168,3344.771,17.924,43.146,4.229,-986.288,-294.728,-3182.431,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,101,JV,Fish milling/hovering,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,76934,8:19:17,,48.417,0.03,4716.194,13.927,,,1037.349,442.457,-4579.37,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,102,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,76934,8:19:17,,84.803,0.803,6013.696,20.506,,,1517.541,1438.582,-5638.448,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,103,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,77714,8:19:43,,64.433,1.196,5267.17,21.015,,,1670.551,861.825,-4920.325,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,104,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,78794,8:20:19,,92.121,0.179,6435.165,31.569,,,3038.228,1433.717,-5488.622,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,105,,,,NO LENGTH; partial view,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,81435,8:21:47,,12.197,1.2,2309.132,25.996,,,-289.11,-978.238,-2071.607,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,106,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,81756,8:21:58,,53.82,0.782,5094.802,9.481,,,-516.51,641.346,-5027.813,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,107,,,,,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,446,8:45:39,,12.089,0.801,2392.513,9.983,,,176.563,-384.73,-2354.767,1,KelliiWood,50,N/A,2019,2,6,Line,rockfish,tiger,148,148,1,,,,,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,1896,8:46:27,627.341,259.223,1.599,7764.139,24.947,57.793,38.487,2647.52,1927.32,-7039.74,1,KelliiWood,50,N/A,2019,2,6,Line,rockfish,yelloweye,145,145,2,AD,Fish milling/hovering,,,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,2324,8:46:41,196.769,22.98,0.577,2482.942,19.661,33.243,23.447,735.325,-396.434,-2338.191,1,KelliiWood,50,N/A,2019,2,6,Line,rockfish,yelloweye,145,145,3,JV,Fish milling/hovering,,,
SL_2019_EYKT_Dive_02_08-45-18.000.avi,3477,8:47:20,,56.569,0.392,5311.586,7.827,,,649.276,297.743,-5263.339,1,KelliiWood,50,N/A,2019,2,6,Line,rockfish,rosethorn,150,150,4,,,,,
