FILENAME,FRAME,TIME (HMS),LENGTH (MM),PRECISION (MM),RMS (MM),RANGE (MM),DIRECTION (DEG),HORZ_DIR (DEG),VERT_DIR (DEG),MID_X (MM),MID_Y (MM),MID_Z (MM),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,DIVE_NO,TRANSECT_NUMBER,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT
SL_2018CSEO_Dive_10_10-11-03.000.avi,11012,17:12.1,465.309,136.109,2.398,5947.742,21.724,41.787,2.878,629.33,2109.586,-5525.326,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,5,AD,Fish milling/hovering,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,13007,18:18.6,,55.434,0.024,5464.658,34.658,,,2847.197,1222.673,-4501.225,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,6,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,22774,23:44.1,463.075,117.143,0.852,6519.333,22.923,28.67,0.107,-692.516,2442.995,-6004.49,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,7,AD,Fish milling/hovering,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,23329,24:02.6,,15.338,4.574,2838.29,28.659,,,1361.011,-36.078,-2490.43,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,8,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,23329,24:02.6,,21.626,0.819,3244.493,22.177,,,1163.329,367.75,-3006.353,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,9,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,24188,24:31.3,,41.029,1.144,4408.814,22.175,,,-1136.617,-1235.9,-4076.555,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,10,AD,Fish resting on bottom,,"NO LENGTH, partial view only"
SL_2018CSEO_Dive_10_10-11-03.000.avi,24390,24:38.0,,60.451,3.415,5645.776,11.306,,,-864.627,663.187,-5539.62,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,11,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,24995,24:58.1,,56.37,0.139,5173.979,23.379,,,-1287.34,1575.391,-4757.201,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,12,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,26784,25:57.8,,34.133,0.002,4357.455,31.469,,,-2245.727,343.693,-3718.333,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,13,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,29278,27:20.9,,57.652,4.883,5324.76,27.987,,,-2244.871,1073.637,-4707.539,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,14,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,30965,28:17.1,,91.537,2.201,6722.538,32.717,,,2874.178,2194.405,-5667.117,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,15,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,31555,28:36.8,544.62,215.628,6.443,7517.109,19.783,40.729,9.634,-863.059,2393.391,-7073.453,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,16,AD,Fish actively swimming in frame,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,32908,29:21.9,,22.701,3.044,3644.127,4.288,,,242.636,105.684,-3634.504,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,17,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,33930,29:56.0,,38.196,1.68,4391.717,14.685,,,629.232,897.021,-4252.834,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,18,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,35072,30:34.0,,45.417,1.789,4745.393,30.953,,,-1986.574,1397.494,-4076.677,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,19,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,35368,30:43.9,,27.901,3.545,3658.761,27.005,,,-1388.295,896.073,-3264.387,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,tiger,148,148,20,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,35743,30:56.4,,71.231,0.883,6036.818,19.307,,,398.144,1927.087,-5707.1,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,21,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,36142,31:09.7,,11.553,0.886,2530.468,6.021,,,-184.953,-203.026,-2515.52,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,22,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,38077,32:14.2,,99.897,5.056,6896.861,30.22,,,2561.061,2313.272,-5971.3,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,23,,,,
