Filename,Year,Management_Area,Frame,Time_UTC,TIME_AK,Seconds,Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,22893,20:08:11,12:08:11,43691,,,588,806,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,12750,20:02:33,12:02:33,43353,,,552,753,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,12192,20:02:15,12:02:15,43335,,,554,796,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,209,19:55:35,11:55:35,42935,,,653,814,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,,20:47:03,12:47:03,46023,,,,,QC,Asia,0,,2016,5,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,,BLB both cameras,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,52721,22:37:35,14:37:35,52655,,,737,863,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,End,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,52555,22:37:29,14:37:29,52649,,,576,791,QC,Asia,0,,2016,6,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,,BLB in SL; BRP in belly,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,51897,22:37:07,14:37:07,52627,,,617,781,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,head shake; halibut,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,51577,22:36:57,14:36:57,52617,,,666,798,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,49388,22:35:44,14:35:44,52544,,,724,985,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,49122,22:35:35,14:35:35,52535,,,649,873,QC,Asia,0,,2016,6,1,,,,,,Good,resting on bottom with close-up image,GRBC,GRBC,5,AD,Passing,,,
