Filename,Frame,AKDT ,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_18_09-09-57.708.avi,59084,9:44:34,17:44:34,,,,12.33,4.953,2614.076,7.834,,,-76.413,-353.005,-2589.004,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,39,,,,,
SL_FW_Dive_18_09-09-57.708.avi,59090,9:44:35,17:44:35,,,838.224,26.982,13.485,2692.628,12.273,36.526,16.513,188.209,-540.558,-2631.088,1,Kristen Green ,0,,2015,18,1,,,,,,greenling,lingcod,130,130,39,,,,"birds eye length view, horiz angle > 30 , RMS > 10",
SL_FW_Dive_18_09-09-57.708.avi,59169,9:44:37,17:44:37,,,,38.459,5.927,4285.419,25.667,,,856.732,1639.221,-3865.719,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,40,SU,Fish milling/hovering,,,
SL_FW_Dive_18_09-09-57.708.avi,59267,9:44:41,17:44:41,,,372.067,32.14,8.419,3836.401,9.344,18.651,9.324,501.812,369.003,-3785.498,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,40,SU,,,,
SL_FW_Dive_18_09-09-57.708.avi,60197,9:45:12,17:45:12,,,,54.275,10.082,5201.986,17.269,,,1461.159,-509.429,-4966.503,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,41,JV,Fish resting on bottom,,no length in rocks ,
SL_FW_Dive_18_09-09-57.708.avi,60472,9:45:21,17:45:21,,,,29.906,5.534,4013.07,11.738,,,206.78,782.193,-3930.667,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,42,SU,Fish resting on bottom,,,
SL_FW_Dive_18_09-09-57.708.avi,60592,9:45:25,17:45:25,,,483.688,50.813,3.224,3194.227,21.998,76.957,29.381,245.258,-1171.083,-2961.672,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,42,SU,,,bad horiz angle > 30 and poor precision ,
SL_FW_Dive_18_09-09-57.708.avi,61086,9:45:41,17:45:41,,,,45.478,6.885,5301.556,1.727,,,108.629,106.889,-5299.365,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,43,SU,Fish resting on bottom,,,
SL_FW_Dive_18_09-09-57.708.avi,61295,9:45:48,17:45:48,,,411.493,21.742,5.817,2668.447,14.31,29.751,9.348,46.053,-657.946,-2585.652,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,43,SU,,,,
SL_FW_Dive_18_09-09-57.708.avi,49276,9:39:08,17:39:08,,,343.098,14.567,2.189,2413.286,23.776,26.668,24.761,55.805,-971.36,-2208.46,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,31,JV,,,,
