Filename,Frame,Time_UTC,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_14_18-11-18.049.avi,59705,18:46:28,2:46:28,,,,56.022,0.119,5348.575,28.207,,,-2434.289,672.982,-4714.72,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,33,,,,,
SL_FW_Dive_14_18-11-18.049.avi,61229,18:47:19,2:47:19,,,,59.396,4.043,5492.42,16.538,,,581.037,1441.263,-5268.002,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,34,,,,,
SL_FW_Dive_14_18-11-18.049.avi,64213,18:48:58,2:48:58,,,,52.391,6.586,5105.306,21.721,,,-1800.288,564.198,-4743.922,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,35,,,,,
SL_FW_Dive_14_18-11-18.049.avi,65481,18:49:41,2:49:41,,,,81.016,3.068,6606.82,13.989,,,-227.219,1568.43,-6413.928,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,36,,,,,
SL_FW_Dive_14_18-11-18.049.avi,66265,18:50:07,2:50:07,,,,68.919,7.305,6246.965,7.127,,,-429.071,633.468,-6199.935,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,37,AD,Fish resting on bottom,,no length in rocks ,
SL_FW_Dive_14_18-11-18.049.avi,67470,18:50:47,2:50:47,,,,163.663,1.162,8912.436,26.516,,,-1794.263,-3566.754,-7968.086,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,48,AD,Fish milling/hovering,,confirmed belly;no length too dark,
SL_FW_Dive_14_18-11-18.049.avi,69692,18:52:01,2:52:01,,,,58.614,5.768,5549.458,11.755,,,-793.565,794.764,-5434.619,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,38,,,,,
SL_FW_Dive_14_18-11-18.049.avi,70665,18:52:34,2:52:33,,,,81.602,3.894,6233.654,23.747,,,-1763.461,1775.535,-5709.302,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,tiger,148,148,39,,,,,
SL_FW_Dive_14_18-11-18.049.avi,70912,18:52:42,2:52:42,,,,44.187,5.731,4596.68,22.565,,,-1135.642,1341.513,-4247.367,1,Kristen Green ,0,,2015,14,1,,,,,,greenling,lingcod,130,130,40,,,,,
SL_FW_Dive_14_18-11-18.049.avi,71001,18:52:45,2:52:45,,,832.453,29.368,9.095,4112.451,15.468,70.028,75.646,-974.84,502.651,-3963.494,1,Kristen Green ,0,,2015,14,1,,,,,,greenling,lingcod,130,130,40,,,,,
SL_FW_Dive_14_18-11-18.049.avi,71331,18:52:56,2:52:56,,,,74.303,9.622,6162.671,20.527,,,-453.79,2101.633,-5775.442,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,41,AD,Fish milling/hovering,,no length too dark,
SL_FW_Dive_14_18-11-18.049.avi,71574,18:53:04,2:53:04,,,,42.11,3.649,4767.469,11.61,,,944.946,157.053,-4670.243,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,42,SU,Fish milling/hovering,,no length bad orientatation ,
SL_FW_Dive_14_18-11-18.049.avi,71672,18:53:07,2:53:07,,,,18.707,6.872,3073.498,18.381,,,259.163,-939.499,-2914.887,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,43,JV,Fish milling/hovering,,no length bad orientatation ,
SL_FW_Dive_14_18-11-18.049.avi,72754,18:53:43,2:53:43,,,,69.889,16.496,5867.618,32.795,,,2742.095,1597.177,-4935.472,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,unknown,10024,10024,44,,,,looks like ye ? RMS > 10,
SL_FW_Dive_14_18-11-18.049.avi,74187,18:54:31,2:54:31,,,,115.168,1.339,7615.597,30.894,,,-3434.735,1856.146,-6538.703,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,45,,,,,
SL_FW_Dive_14_18-11-18.049.avi,76372,18:55:44,2:55:44,,,,33.969,8.691,4442.9,6.262,,,-53.927,473.071,-4417.313,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,46,,,,,
SL_FW_Dive_14_18-11-18.049.avi,76374,18:55:44,2:55:44,,,,95.29,1.437,6724.806,21.209,,,1678.505,1749.006,-6272.688,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,tiger,148,148,47,,,,,
belly,,18:52:51,2:52:51,,,,,,,,,,-1829,,,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,49,,Fish moving slowly into frame,,in belly only; estimated 6 ft to left of transect; no length,
