Filename,Frame,AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_33_16-37-42.838.avi,27681,16:53:18,0:53:18,,,,19.36,4.441,3150.136,29.16,,,1523.868,178.276,-2751.254,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,31,,,,no length in rocks,
SL_FW_Dive_33_16-37-42.838.avi,28182,16:53:34,0:53:34,,,,20.117,2.407,3260.643,13.682,,,771.249,0.277,-3168.117,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,32,,,,,
SL_FW_Dive_33_16-37-42.838.avi,28297,16:53:38,0:53:38,,,,34.53,2.478,4086.168,26.618,,,-1584.563,909.945,-3654.851,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,33,,,,,
SL_FW_Dive_33_16-37-42.838.avi,28343,16:53:40,0:53:40,,,907.909,86.556,8.907,4349.51,25.201,54.791,10.309,-1755.729,589.347,-3935.521,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,33,,,,poor precision and angle,
SL_FW_Dive_33_16-37-42.838.avi,28248,16:53:37,0:53:37,,,,41.63,4.714,4697.183,11.043,,,-679.409,580.94,-4611.338,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,34,,,,,
SL_FW_Dive_33_16-37-42.838.avi,28692,16:53:51,0:53:51,,,,15.064,9.655,2692.237,18.497,,,719.615,-465.041,-2552.26,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,35,,,,no length in rocks,
SL_FW_Dive_33_16-37-42.838.avi,28751,16:53:53,0:53:53,,,,12.456,6.675,2554.73,10.869,,,-311.766,-372.065,-2508.19,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,36,,,,,
SL_FW_Dive_33_16-37-42.838.avi,29249,16:54:10,0:54:10,,,,13.343,14.696,2498.492,22.363,,,720.432,-624.647,-2309.384,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,37,,,,RMS > 10 ,
SL_FW_Dive_33_16-37-42.838.avi,30285,16:54:44,0:54:45,,,,21.526,4.53,3447.615,7.969,,,262.774,392.687,-3415.083,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,38,,,,,
SL_FW_Dive_33_16-37-42.838.avi,30487,16:54:51,0:54:51,,,,41.23,3.135,4658.432,14.887,,,256.275,1160.38,-4504.312,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,39,,,,,
SL_FW_Dive_33_16-37-42.838.avi,31253,16:55:17,0:55:17,,,,10.18,0.205,2182.915,21.939,,,638.402,-511.488,-2023.843,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,40,,,,,
