Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time H:MM:SS
SL_FW_Dive_03_17-52-02.051.avi,40126,18:15:01,2:15:01,,,,68.667,4.031,5728.061,22.614,,,-1660.734,1436.636,-5290.437,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,51,,,,,
SL_FW_Dive_03_17-52-02.051.avi,46025,18:18:17,2:18:17,,,,69.849,0.536,5880.626,30.096,,,-2525.746,1512.127,-5090.76,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,52,AD,Fish moving slowly out of frame,,,
SL_FW_Dive_03_17-52-02.051.avi,46066,18:18:19,2:18:19,,,507.798,96.008,7.049,5729.197,30.726,25.732,13.658,-2594.306,1355.867,-4924.927,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,52,AD,,,tail bent,
SL_FW_Dive_03_17-52-02.051.avi,46432,18:18:31,2:18:31,,,,25.459,2.148,3592.702,25.113,,,-1496.734,-297.25,-3252.528,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,53,,,,,
SL_FW_Dive_03_17-52-02.051.avi,46825,18:18:44,2:18:44,,,,42.25,4.752,4847.225,10.764,,,40.689,895.156,-4763.678,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,tiger,148,148,54,,,,,
SL_FW_Dive_03_17-52-02.051.avi,47389,18:19:03,2:19:03,,,,52.977,4.68,5165.449,15.205,,,-996.753,907.876,-4986.392,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,55,,,,,
SL_FW_Dive_03_17-52-02.051.avi,47686,18:19:13,2:19:13,,,,49.328,1.052,5051.702,30.564,,,-2422.691,845.661,-4351.45,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,56,,,,,
SL_FW_Dive_03_17-52-02.051.avi,47773,18:19:15,2:19:15,,,,39.931,1.128,4473.254,16.305,,,-697.432,1036.081,-4295.361,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,57,,,,,
SL_FW_Dive_03_17-52-02.051.avi,48509,18:19:40,2:19:40,,,,36.87,1.927,4167.724,26.531,,,1624.496,902.084,-3730.573,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,58,,,,,
SL_FW_Dive_03_17-52-02.051.avi,49933,18:20:27,2:20:27,,,,23.619,3.65,3568.369,12.736,,,-786.648,-15.809,-3480.544,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,59,,,,,
SL_FW_Dive_03_17-52-02.051.avi,50522,18:20:47,2:20:47,,,,45.452,2.272,4744.027,30.03,,,2259.396,721.248,-4108.616,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,60,,,,,
