Filename,Frame,Time (HMS),Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS,Time (HMS),Actual Time (HMS),Actual Time (AKSTD),Seconds,,
SL_FW_Dive_13_16-58-04.834.avi,1394,0:58:59,,,459,689,QC,Asia,0,,2015,13,9,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,0:58:59,0:58:59,16:58:59,61139,,
SL_FW_Dive_13_16-58-04.834.avi,36759,1:18:38,,,391,777,QC,Asia,0,,2015,13,9,,,,,,Bad,loitering in same area,BLA,BLA,,,,,,,1:18:38,1:18:38,17:18:38,62318,,
SL_FW_Dive_13_16-58-04.834.avi,36994,1:18:46,,,468,702,QC,Asia,0,,2015,13,9,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,1:18:46,1:18:46,17:18:46,62326,,
SL_FW_Dive_13_16-58-04.834.avi,55942,1:29:18,,,315,441,QC,Asia,0,,2015,13,9,,,,,,Bad,loitering in same area,BLA,BLA,,,,,,,1:29:18,1:29:18,17:29:18,62958,,
SL_FW_Dive_13_16-58-04.834.avi,56154,1:29:25,,,559,649,QC,Asia,0,,2015,13,9,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,1:29:25,1:29:25,17:29:25,62965,,
SL_FW_Dive_13_16-58-04.834.avi,64235,1:33:54,,,466,639,QC,Asia,0,,2015,13,9,,,,,,Good,Good Going Forward,GGF,GGF,3,,,End,,,1:33:54,1:33:54,17:33:54,63234,,
SL_FW_Dive_14_18-11-18.049.avi,1279,2:14:01,,,474,532,QC,Asia,0,,2015,14,11,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,2:14:01,2:14:01,18:14:01,65641,,
SL_FW_Dive_14_18-11-18.049.avi,57871,2:45:27,,,554,421,QC,Asia,0,,2015,14,11,,,,,,Bad,going backwards,BGB,BGB,,,,,,,2:45:27,2:45:27,18:45:27,67527,,
SL_FW_Dive_14_18-11-18.049.avi,58128,2:45:36,,,514,468,QC,Asia,0,,2015,14,11,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,2:45:36,2:45:36,18:45:36,67536,,
SL_FW_Dive_14_18-11-18.049.avi,67015,2:50:32,,,532,347,QC,Asia,0,,2015,14,11,,,,,,Bad,going backwards,BGB,BGB,,,,,,,2:50:32,2:50:32,18:50:32,67832,,
SL_FW_Dive_14_18-11-18.049.avi,67282,2:50:41,,,608,632,QC,Asia,0,,2015,14,11,,,,,,Bad,lost bottom visual,BLB,BLB,,,,,,,2:50:41,2:50:41,18:50:41,67841,,
SL_FW_Dive_14_18-11-18.049.avi,67555,2:50:50,,,446,563,QC,Asia,0,,2015,14,11,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,2:50:50,2:50:50,18:50:50,67850,,
SL_FW_Dive_14_18-11-18.049.avi,78411,2:56:52,,,406,527,QC,Asia,0,,2015,14,11,,,,,,Good,Good Going Forward,GGF,GGF,3,,,End,,,2:56:52,2:56:52,18:56:52,68212,,
SL_FW_Dive_15_19-49-39.381.avi,351,3:50:02,,,414,278,QC,Asia,0,,2015,15,13,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,3:50:02,3:50:02,19:50:02,71402,,
