FILENAME,FRAME,TIME_MINS,PERIOD,PERIOD_TIME_MINS,LENGTH_MM,PRECISION,RMS_1_MM,RMS_2_MM,RANGE_MM,DIRECTION_DEG,HORZ_DIR_DEG,VERT_DIR_DEG,MID_X_MM,MID_Y_MM,MID_Z_MM,OPCODE,TAPE_READER,DEPTH_NOT_USED,TRIP_COMMENT,YEAR,DIVE_NO,TRANSECT_NO,USER_DEF_4,USER_DEF_5,USER_DEF_6,USER_DEF_7,USER_DEF_8,FAMILY,GENUS,SPECIES,CODE,SPECIMEN_NUMBER,STAGE,ACTIVITY,CHECK_ID,SPECIES_COMMENT,USER_DEF_ATTR
2012_6736_2_SL.avi,   9779,21.8879,,,918.229,49,2.138,2.867,3187.085,9.466,69.565,32.83,-521.093,-11.58,-3144.175,1,Jenny Stahl,0,,2012,6736,2,,,,,,skate,skate,700,700,7,,,,length is wing span,
2012_6736_2_SL.avi,  15721,25.1923,,,,28,6.371,,4181.317,7.498,,,371.621,309.631,-4153.245,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,8,,,,,
2012_6736_2_SL.avi,  23608,29.5784,,,,19,1.246,,3116.32,23.872,,,622.72,1034.674,-2872.824,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,dusky,172,172,9,,,,,
2012_6736_2_SL.avi,  24608,30.1345,,,,33,0.715,,4162.779,18.84,,,1253.847,399.141,-3949.34,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,10,,,,,
2012_6736_2_SL.avi,  24843,30.2652,,,,39,4.89,,4882.685,12.2,,,167.939,914.443,-4793.35,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,11,,,,,
2012_6736_2_SL.avi,  24887,30.2896,,,,47,1.138,,4709.184,22.581,,,-1505.612,907.015,-4368.852,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,quillback,147,147,12,,,,,
2012_6736_2_SL.avi,  25915,30.8613,,,,25,6.236,,3174.596,28.011,,,-1333.188,606.484,-2816.531,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,yelloweye,145,145,13,AD,Fish milling,,"no length, can't see tail",
2012_6736_2_SL.avi,  29102,32.6336,,,,37,7.648,,4533.841,15.938,,,794.239,864.045,-4379.306,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,14,,,,,
2012_6736_2_SL.avi,  33367,35.0055,,,,31,12.167,,3659.749,29.848,,,1360.843,1141.635,-3199.771,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,15,,,,,
2012_6736_2_SL.avi,  33872,35.2863,,,,51,8.987,,5104.903,23.716,,,-928.937,1729.327,-4712.381,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,silvergray,157,157,16,,,,,
2012_6736_2_SL.avi,  34470,35.6188,,,,63,1.774,,5671.843,23.789,,,-995.86,1946.791,-5233.361,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,,,,17,,,,,
2012_6736_2_SL.avi,  34660,35.7245,,,,34,4.444,,4341.743,15.147,,,813.563,699.661,-4207.056,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,tiger,148,148,18,,,,,
2012_6736_2_SL.avi,  36314,36.6443,,,,28,1.405,,3668.738,22.077,,,1378.792,-54.753,-3399.348,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,19,,,,,
2012_6736_2_SL.avi,  38161,37.6714,,,,60,2.893,,4947.857,27.361,,,-2104.11,766.956,-4412.005,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,silvergray,157,157,20,,,,,
2012_6736_2_SL.avi,  41853,39.7246,,,,16,5.492,,3193.41,3.788,,,-188.63,25.367,-3187.733,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,21,,,,,
2012_6736_2_SL.avi,  42154,39.892,,,,25,0.525,,3486.708,21.163,,,-1119.128,505.673,-3263.277,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,silvergray,157,157,22,,,,,
2012_6736_2_SL.avi,  43072,40.4025,,,,34,5.453,,3983.412,25.386,,,1702.812,51.593,-3600.741,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,23,,,,,
2012_6736_2_SL.avi,  43375,40.571,,,,27,4.208,,3926.723,15.56,,,-457.02,866.859,-3802.479,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,quillback,147,147,24,,,,,
2012_6738_1_SL.avi,   7070,20.3814,,,,8,1.966,,1976.298,15.829,,,27.45,-579.452,-1889.242,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,1,,,,,
2012_6738_1_SL.avi,   7070,20.3814,,,,10,4.182,,2350.741,9.72,,,350.768,-235.833,-2312.429,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,2,,,,,
2012_6738_1_SL.avi,   7681,20.7212,,,474.441,26,2.818,2.511,3942.369,8.926,13.57,5.927,611.706,-87.242,-3893.646,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,3,AD,Fish milling,,,
2012_6738_1_SL.avi,   7464,20.6005,,,,68,8.132,,6196.622,16.711,,,-699.199,1509.92,-5969.036,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,3,AD,Fish milling,,,
2012_6738_1_SL.avi,   9216,21.5748,,,,24,2.542,,3513.036,23.043,,,599.55,1167.142,-3258.794,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,silvergray,157,157,4,,,,,
2012_6738_1_SL.avi,   9591,21.7834,,,,37,11.34,,4412.565,18.418,,,-944.392,934.62,-4207.771,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
2012_6738_1_SL.avi,   9976,21.9975,,,,17,0.664,,3081.944,12.825,,,667.75,-213.806,-3001.129,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
2012_6738_1_SL.avi,   9988,22.0042,,,,35,7.564,,4126.815,22.555,,,1499.809,423.461,-3821.238,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,7,AD,Fish moving slowly into frame,,,
2012_6738_1_SL.avi,  10053,22.0403,,,598.588,19,1.699,7.796,2504.904,15.343,28.377,5.921,482.437,-506.702,-2405.213,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,7,AD,Fish moving slowly into frame,,,
2012_6738_1_SL.avi,  10414,22.2411,,,,118,1.542,,7237.164,24.514,,,-2875.254,723.061,-6602.018,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,tiger,148,148,8,,,,,
2012_6738_1_SL.avi,  15715,25.189,,,,20,7.594,,3511.292,1.473,,,-72.259,-130.151,-3508.135,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,9,,,,,
2012_6738_1_SL.avi,  15992,25.343,,,,13,0.25,,2404.723,23.854,,,967.144,53.96,-2201.003,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,dusky,172,172,10,,,,,
2012_6738_1_SL.avi,  22821,29.1407,,,,18,5.004,,2738.767,26.339,,,-1213.619,7.786,-2455.181,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,27,,,,,
2012_6738_1_SL.avi,  24198,29.9065,,,559.696,49,5.57,5.403,3900.313,27.469,12.014,19.787,-1625.074,696.732,-3476.513,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,28,AD,Fish actively swimming within frame,,RMS high 1st site-took 3D later,
2012_6738_1_SL.avi,  24136,29.872,,,,53,4.637,,4685.797,28.792,,,-1757.957,1325.856,-4136.229,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,28,AD,Fish actively swimming within frame,,RMS high 1st site-took 3D later,
2012_6738_1_SL.avi,  24168,29.8898,,,,28,3.476,,3823.35,19.019,,,716.34,940.912,-3635.869,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,29,,,,,
2012_6738_1_SL.avi,  24565,30.1106,,,,20,0.335,,2964.093,24.818,,,-1240.464,-153.791,-2687.647,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,30,,,,,
2012_6738_1_SL.avi,  25019,30.363,,,,46,5.334,,4756.047,22.658,,,1245.046,1248.755,-4417.065,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,31,AD,Fish actively swimming within frame,,,
2012_6738_1_SL.avi,  25062,30.387,,,460.226,59,5.603,3.61,4011.222,23.733,33.32,8.951,1385.986,748.085,-3689.08,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,31,AD,Fish actively swimming within frame,,,
2012_6738_1_SL.avi,  26192,31.0154,,,,18,0.526,,3014.934,19.038,,,982.099,-10.33,-2850.474,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,32,,,,,
2012_6738_1_SL.avi,  26711,31.304,,,,55,0.121,,5054.742,23.683,,,-1666.207,1059.691,-4653.088,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,33,,,,,
2012_6738_1_SL.avi,  28747,32.4362,,,,29,1.481,,4110.018,14.976,,,346.936,917.588,-3991.229,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,34,,,,,
2012_6738_1_SL.avi,  28885,32.513,,,,22,5.416,,3173.263,23.231,,,-1242.818,85.138,-2918.519,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,35,,,,,
2012_6738_1_SL.avi,  29333,32.7621,,,,35,7.164,,3950.16,25.015,,,-1564.255,508.158,-3591.468,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,36,,,,,
