"filename","frame","time_akdt","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive_no","transect_no","user_def_4","user_def_5","user_def_6","user_def_7","user_def_8","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss"
"SL_FW_Dive_02_16-27-15.035.avi",37229,"16:48:00","0:48:00",NA,NA,NA,30.816,0.325,3883.666,23.986,NA,NA,-1460.209,593.378,-3549.444,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",38561,"16:48:44","0:48:44",NA,NA,NA,13.998,3.582,2589.365,28.639,NA,NA,1136.605,-502.691,-2271.617,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,7,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",40198,"16:49:39","0:49:39",NA,NA,NA,31.724,9.363,4005.276,21.366,NA,NA,1454.854,-120.303,-3729.767,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,8,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",43136,"16:51:17","0:51:17",NA,NA,NA,37.264,3.195,4386.542,23.603,NA,NA,-1745.664,185.486,-4019.951,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"skate","skate",NA,NA,9,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",43315,"16:51:23","0:51:23",NA,NA,NA,20.623,2.351,3373.535,9.31,NA,NA,545.733,-7.02,-3329.094,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",44174,"16:51:51","0:51:51",NA,NA,NA,5.689,3.555,1690.083,27.505,NA,NA,780.178,20.06,-1499.101,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"salmon","",NA,NA,11,"","",NA,"king salmon?",NA
"SL_FW_Dive_02_16-27-15.035.avi",49407,"16:54:46","0:54:46",NA,NA,NA,14.681,3.298,2692.425,18.894,NA,NA,-369.738,-794.499,-2545.823,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"flatfish","",NA,NA,12,"","",NA,"likely halibut",NA
"SL_FW_Dive_02_16-27-15.035.avi",62326,"17:01:57","1:01:57",NA,NA,NA,85.059,2.639,6296.959,26.917,NA,NA,2110.94,1904.881,-5618.456,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,13,"AD","Fish milling/hovering",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",62369,"17:01:58","1:01:58",NA,NA,874.93,118.596,16.377,6106.358,27.859,28.81,4.736,2258.537,1744.005,-5398.617,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,13,"AD","",NA,"High RMS-blurry & far",NA
"SL_FW_Dive_02_16-27-15.035.avi",86621,"17:15:26","1:15:26",NA,NA,NA,18.52,1.346,3100.857,23.839,NA,NA,-1252.775,29.985,-2836.366,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"flatfish","flatfish",NA,NA,14,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",86622,"17:15:26","1:15:26",NA,NA,NA,10.572,0.784,2456.737,4.974,NA,NA,-208.825,-46.78,-2447.399,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"miscellaneous invertebrate","",NA,NA,15,"","",NA,"lots of squat lobsters",NA
"SL_FW_Dive_03_17-52-02.051.avi",1169,"17:53:22","1:53:22",NA,NA,NA,64.353,8.503,5945.367,9.151,NA,NA,-481.544,802.401,-5871.257,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,1,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",2403,"17:54:03","1:54:03",NA,NA,NA,21.676,5.463,3395.596,9.991,NA,NA,362.756,-470.669,-3343.195,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,2,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",3101,"17:54:26","1:54:26",NA,NA,NA,22.176,2.521,3244.338,21.614,NA,NA,1051.112,-574.406,-3015.12,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,3,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",3158,"17:54:28","1:54:28",NA,NA,NA,44.125,7.058,4958.605,7.944,NA,NA,-576.427,361.182,-4911.725,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,4,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",3158,"17:54:28","1:54:28",NA,NA,NA,34.792,7.31,4183.261,17.759,NA,NA,1235.945,309.31,-3984.525,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,5,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",3951,"17:54:55","1:54:55",NA,NA,NA,24.187,5.321,3684.063,8.023,NA,NA,510.2,57.045,-3648.117,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",6857,"17:56:32","1:56:32",NA,NA,NA,27.606,8.474,3649.066,23.191,NA,NA,-1269.052,-680.561,-3352.913,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,7,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",7305,"17:56:47","1:56:47",NA,NA,NA,57.436,8.011,5212.066,24.212,NA,NA,1890.252,988.877,-4755.492,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,8,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",7592,"17:56:56","1:56:56",NA,NA,NA,29.106,6.468,4205.973,2.529,NA,NA,-14.159,176.968,-4202.225,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,9,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",7635,"17:56:58","1:56:58",NA,NA,NA,63.164,4.971,5493.852,27.893,NA,NA,-1655.339,1956.703,-4859.381,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,10,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",7771,"17:57:02","1:57:02",NA,NA,NA,53.863,0.887,5091.078,22.661,NA,NA,1825.306,708.951,-4699.439,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,11,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",7967,"17:57:09","1:57:09",NA,NA,NA,52.239,3.634,5138.65,17.596,NA,NA,-584.482,1429.782,-4901.002,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,12,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",8028,"17:57:11","1:57:11",NA,NA,NA,26.846,1.56,3585.355,22.183,NA,NA,-842.474,1053.187,-3322.018,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,13,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",8826,"17:57:37","1:57:37",NA,NA,NA,24.898,2.607,3488.844,27.613,NA,NA,-1437.806,734.07,-3092.877,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,14,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",8889,"17:57:39","1:57:39",NA,NA,NA,13.868,5.984,2587.269,23.321,NA,NA,408.578,934.657,-2377.697,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,15,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",9105,"17:57:47","1:57:46",NA,NA,NA,59.277,8.174,5574.16,12.563,NA,NA,557.4,1066.216,-5442.77,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,16,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",9476,"17:57:59","1:57:59",NA,NA,NA,20.834,0.107,3212.909,31.174,NA,NA,-1330.196,-1003.594,-2747.028,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,17,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",11700,"17:59:13","1:59:13",NA,NA,NA,12.593,2.95,2538.044,24.472,NA,NA,-97.351,-1051.327,-2308.009,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,18,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",11897,"17:59:20","1:59:20",NA,NA,NA,49.961,6.299,5044.372,14.812,NA,NA,-1114.431,639.479,-4877.991,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,19,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",14628,"18:00:51","2:00:51",NA,NA,NA,26.734,3.871,3613.425,18.65,NA,NA,1051.373,472.845,-3424.599,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,20,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",14821,"18:00:57","2:00:57",NA,NA,NA,8.442,3.317,2068.566,29.458,NA,NA,-959.17,-342.447,-1800.469,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,21,"AD","Fish moving slowly into frame",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",15016,"18:01:04","2:01:04",NA,NA,NA,45.046,4.45,4599.407,24.726,NA,NA,1636.702,1003.111,-4179.655,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,22,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",15144,"18:01:08","2:01:08",NA,NA,562.797,7.617,3.01,1700.495,24,17.682,17.463,602.215,-340.166,-1553.482,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,21,"AD","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",16735,"18:02:01","2:02:01",NA,NA,NA,51.978,1.326,5314.416,9.928,NA,NA,-444.07,791.373,-5236.368,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,23,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",16816,"18:02:04","2:02:04",NA,NA,NA,29.073,4.689,3859.396,30.989,NA,NA,1942.691,411.485,-3309.316,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,24,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",17028,"18:02:11","2:02:11",NA,NA,NA,20.373,3.827,3168.758,24.234,NA,NA,375.367,1239.72,-2891.923,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,25,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",17544,"18:02:28","2:02:28",NA,NA,NA,11.747,5.132,2375.99,19.871,NA,NA,-633.997,-504.584,-2233.555,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,26,"","",NA,"better in belly cam",NA
"SL_FW_Dive_03_17-52-02.051.avi",17544,"18:02:28","2:02:28",NA,NA,NA,37.024,6.014,4486.311,9.986,NA,NA,-338.952,691.711,-4419.687,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,27,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",18209,"18:02:50","2:02:50",NA,NA,NA,49.166,5.415,4875.641,25.95,NA,NA,-981.903,1885.692,-4387.7,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,28,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",18217,"18:02:50","2:02:50",NA,NA,NA,26.374,6.496,3535.078,26.349,NA,NA,1420.66,-672.074,-3166.515,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,29,"","",NA,"",NA
