"Filename","Frame","Time (HMS)","Period","Period time (HMS)","Length (mm)","Precision (mm)","RMS 1 (mm)","RMS 2 (mm)","Range (mm)","Direction (deg)","Horz. Dir. (deg)","Vert. Dir. (deg)","Mid X (mm)","Mid Y (mm)","Mid Z (mm)","OpCode","Tape Reader","Depth","Comment...20","Year","Dive No","Transect No","User Def. 4","User Def. 5","User Def. 6","User Def. 7","User Def. 8","Family","Genus","Species","Code","Number","Stage","Activity","Check ID","Comment...37","Event Time","Time (mins)","Period time (mins)"
"2013_45_1_SL.avi","48191","06:26.1","","","","42.116","4.27","","4931.815","12.615","","","1012.998","312.27","-4816.547","1","Kristen Green","0","old cameras","2013","45","1","","","","","","rockfish","yelloweye","145","145","7","SU","milling/hovering","","","",NA,NA
"2013_45_1_SL.avi","48326","06:30.6","","","417.779","23.212","1.811","1.665","2992.192","17.202","22.913","22.211","855.088","-259.582","-2855.636","1","Kristen Green","0","old cameras","2013","45","1","","","","","","rockfish","yelloweye","145","145","7","SU","","","","",NA,NA
"2013_45_1_SL.avi","53363","09:18.7","","","","8.286","0.263","","2181.163","6.281","","","101.211","-240.24","-2165.528","1","Kristen Green","0","old cameras","2013","45","1","","","","","","ratfish","ratfish","714","714","8","","","","","",NA,NA
"2013_45_1_SL.avi","54574","09:59.1","","","","10.058","4.158","","2416.619","7.004","","","-269.196","-146.654","-2397.097","1","Kristen Green","0","old cameras","2013","45","1","","","","","","halibut","halibut","200","200","9","","","","","",NA,NA
"2013_45_1_SL.avi","54597","09:59.9","","","410.531","18.627","5.212","6.739","2035.061","9.484","55.21","20.711","-151.519","-321.475","-2003.789","1","Kristen Green","0","old cameras","2013","45","1","","","","","","halibut","halibut","200","200","9","","","","","",NA,NA
"2013_45_1_SL.avi","65298","15:56.9","","","","6.574","1.072","","1782.979","19.334","","","356.506","-489.2","-1677.081","1","Kristen Green","0","old cameras","2013","45","1","","","","","","halibut","halibut","200","200","10","","","","","",NA,NA
"2013_45_1_SL.avi","65299","15:57.0","","","322.099","9.033","8.364","1.737","1831.858","15.852","26.857","12.834","225.223","-466.451","-1757.1","1","Kristen Green","0","old cameras","2013","45","1","","","","","","halibut","halibut","200","200","10","","","","","",NA,NA
"2013_14_1_SL.avi","14469","47:47.8","","","","19.375","3.379","","2990.522","25.508","","","1287.751","-45.452","-2698.677","1","Kristen Green","0","old cameras","2013","14","1","","","","","","rockfish","quillback","147","147","3","","","","","",NA,NA
"2013_14_1_SL.avi","15018","48:06.1","","","","17.426","0.774","","2801.978","25.178","","","1004.184","-670.553","-2528.449","1","Kristen Green","0","old cameras","2013","14","1","","","","","","rockfish","quillback","147","147","4","","","","","",NA,NA
"2013_14_1_SL.avi","15935","48:36.7","","","","5.435","1.64","","1578.859","22.261","","","399.365","-461.494","-1456.134","1","Kristen Green","0","old cameras","2013","14","1","","","","","","ratfish","ratfish","714","714","5","","","","","",NA,NA
"2013_14_1_SL.avi","23397","52:45.7","","","","10.558","2.948","","2185.982","27.727","","","-738.442","677.749","-1942.646","1","Kristen Green","0","old cameras","2013","14","1","","","","","","rockfish","quillback","147","147","6","","","","","",NA,NA
"2013_14_1_SL.avi","29001","55:52.7","","","","4.468","12.394","","1450.045","18.348","","","296.547","-362.331","-1372.372","1","Kristen Green","0","old cameras","2013","14","1","","","","","","cod","Pacific cod","110","110","7","","","","","",NA,NA
"2013_14_1_SL.avi","34574","58:58.7","","","","8.255","2.632","","1957.863","21.691","","","-631.134","-374.253","-1815.167","1","Kristen Green","0","old cameras","2013","14","1","","","","","","flatfish","Dover sole","124","124","8","","","","","",NA,NA
