Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_12_09-27-40.000.avi,38329,9:49:00,35340,,,576,847,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,38658,9:49:11,35351,,,570,837,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,48310,9:54:32,35672,,,573,839,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,49207,9:55:02,35702,,,574,843,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,59489,10:00:45,36045,,,574,843,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,59764,10:00:54,36054,,,587,851,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,71178,10:07:15,36435,,,583,850,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_13_10-39-23.000.avi,536,10:39:44,38384,,,580,841,QC,EricaEbert,60,N/A,2019,13,17,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_13_10-39-23.000.avi,3639,10:41:27,38487,,,580,838,QC,EricaEbert,60,N/A,2019,13,17,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_13_10-39-23.000.avi,3916,10:41:37,38497,,,576,842,QC,EricaEbert,60,N/A,2019,13,17,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_13_10-39-23.000.avi,7553,10:43:38,38618,,,576,835,QC,EricaEbert,60,N/A,2019,13,17,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_13_10-39-23.000.avi,8027,10:43:54,38634,,,580,846,QC,EricaEbert,60,N/A,2019,13,17,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_13_10-39-23.000.avi,68387,11:17:26,40646,,,583,846,QC,EricaEbert,60,N/A,2019,13,17,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_14_13-20-25.000.avi,133,13:20:36,48036,,,612,873,QC,EricaEbert,85,N/A,2019,14,1,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_14_13-20-25.000.avi,23827,13:33:46,48826,,,588,851,QC,EricaEbert,85,N/A,2019,14,1,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_14_13-20-25.000.avi,24418,13:34:06,48846,,,596,860,QC,EricaEbert,85,N/A,2019,14,1,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
