YEAR,DIVE_NO,TRANSECT_NO,Dive_trans,DiveTrans,HP_line,Event_ID,Event_ID,Date,UTC time,Date_time,AST,Sec,QUALITY_CODE,START_END,COMMENTS,Segment
2012,6754,1,67541,67541,26,26_260_o,26_260_o_1,8/21/2012,17:54:24,8/21/12 17:54,9:54:24,35664,GGF,START,,1
2012,6754,1,67541,67541,26,26_260_o,26_260_o_,8/21/2012,18:14:21,8/21/12 18:14,10:14:21,36861,BPV,,,
2012,6754,1,67541,67541,26,26_260_o,26_260_o_2,8/21/2012,18:14:25,8/21/12 18:14,10:14:25,36865,GGF,,,2
2012,6754,1,67541,67541,26,26_260_o,26_260_o_,8/21/2012,18:17:36,8/21/12 18:17,10:17:36,37056,BPV,,,
2012,6754,1,67541,67541,26,26_260_o,26_260_o_3,8/21/2012,18:17:52,8/21/12 18:17,10:17:52,37072,GGF,,,3
2012,6754,1,67541,67541,26,26_260_o,26_260_o_3,8/21/2012,18:18:13,8/21/12 18:18,10:18:13,37093,GGF,END,,3
2012,6755,1,67551,67551,27,27_260_o,27_260_o_1,8/21/2012,16:22:23,8/21/12 16:22,8:22:23,30143,GGF,START,,1
2012,6755,1,67551,67551,27,27_260_o,27_260_o_1,8/21/2012,16:52:27,8/21/12 16:52,8:52:27,31947,GGF,END,,1
2012,6755,2,67552,67552,28,28_265_o,28_265_o_1,8/21/2012,15:22:10,8/21/12 15:22,7:22:10,26530,GGF,START,,1
2012,6755,2,67552,67552,28,28_265_o,28_265_o_,8/21/2012,15:29:30,8/21/12 15:29,7:29:30,26970,BGB,,,
2012,6755,2,67552,67552,28,28_265_o,28_265_o_,8/21/2012,15:29:49,8/21/12 15:29,7:29:49,26989,BLB,,,
2012,6755,2,67552,67552,28,28_265_o,28_265_o_,8/21/2012,15:29:59,8/21/12 15:29,7:29:59,26999,BRP,,,
2012,6755,2,67552,67552,28,28_265_o,28_265_o_2,8/21/2012,15:30:08,8/21/12 15:30,7:30:08,27008,GGF,,,2
2012,6755,2,67552,67552,28,28_265_o,28_265_o_,8/21/2012,15:30:17,8/21/12 15:30,7:30:17,27017,BLB,ABORTED,clotheslined by longline gear,
2012,6755,2,67552,67552,28,28_265_o,28_265_o_3,8/21/2012,16:00:37,8/21/12 16:00,8:00:37,28837,GGF,RESTARTED,same transect west of longline gear,3
2012,6755,2,67552,67552,28,28_265_o,28_265_o_,8/21/2012,16:02:19,8/21/12 16:02,8:02:19,28939,BGB,,,
2012,6755,2,67552,67552,28,28_265_o,28_265_o_4,8/21/2012,16:02:33,8/21/12 16:02,8:02:33,28953,GGF,,,4
2012,6755,2,67552,67552,28,28_265_o,28_265_o_4,8/21/2012,16:17:45,8/21/12 16:17,8:17:45,29865,GGF,END,,4
2012,6756,1,67561,67561,29,29_267_o,29_267_o_1,8/22/2012,00:03:19,8/22/12 0:03,16:03:19,57799,GGF,START,,1
2012,6756,1,67561,67561,29,29_267_o,29_267_o_,8/22/2012,0:12:26,8/22/12 0:12,16:12:26,58346,BDO,,,
2012,6756,1,67561,67561,29,29_267_o,29_267_o_2,8/22/2012,00:12:32,8/22/12 0:12,16:12:32,58352,GGF,,,2
2012,6756,1,67561,67561,29,29_267_o,29_267_o_,8/22/2012,00:18:45,8/22/12 0:18,16:18:45,58725,BGB,,,
2012,6756,1,67561,67561,29,29_267_o,29_267_o_3,8/22/2012,00:19:10,8/22/12 0:19,16:19:10,58750,GGF,,,3
2012,6756,1,67561,67561,29,29_267_o,29_267_o_,8/22/2012,00:33:12,8/22/12 0:33,16:33:12,59592,BDO,,,
