Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2018CSEO_Dive_13_14-47-34.000.avi,61730,15:22:01,55321,,,61730,15:22:01,QC,amy,,,2018,13,105,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,
SL_2018CSEO_Dive_13_14-47-34.000.avi,64950,15:23:48,55428,,,64950,15:23:48,QC,amy,,,2018,13,105,,,,,,Bad,loitering in same area,BLA,BLA,8,AD,Passing,,,
SL_2018CSEO_Dive_13_14-47-34.000.avi,65741,15:24:14,55454,,,65741,15:24:14,QC,amy,,,2018,13,105,,,,,,Good,Good Going Forward,GGF,GGF,9,AD,Passing,,,
SL_2018CSEO_Dive_13_14-47-34.000.avi,71155,15:27:15,55635,,,71155,15:27:15,QC,amy,,,2018,13,105,,,,,,Good,Good Going Forward,GGF,GGF,10,AD,Passing,End,,15:27:15
SL_2018CSEO_Dive_14_16-24-24.000.avi,182,16:25:30,59130,,,182,16:25:30,QC,amy,,,2018,14,106,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,16:25:31
SL_2018CSEO_Dive_14_16-24-24.000.avi,53392,16:55:04,60904,,,53392,16:55:04,QC,amy,,,2018,14,106,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,can see in belly,16:55:04
SL_2018CSEO_Dive_14_16-24-24.000.avi,53595,16:55:10,60910,,,53595,16:55:10,QC,amy,,,2018,14,106,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,16:55:11
SL_2018CSEO_Dive_14_16-24-24.000.avi,72008,17:05:24,61524,,,72008,17:05:24,QC,amy,,,2018,14,106,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,can see in belly,
SL_2018CSEO_Dive_14_16-24-24.000.avi,72267,17:05:33,61533,,,72267,17:05:33,QC,amy,,,2018,14,106,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,17:05:33
SL_2018CSEO_Dive_14_16-24-24.000.avi,74012,17:06:31,61591,,,74012,17:06:31,QC,amy,,,2018,14,106,,,,,,Good,Good Going Forward,GGF,GGF,6,AD,Passing,End,,17:06:32
SL_2018CSEO_Dive_15_07-46-26.000.avi,142,7:47:01,28021,,,142,7:47:01,QC,amy,,,2018,15,107,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,7:47:01
SL_2018CSEO_Dive_15_07-46-26.000.avi,78802,8:30:43,30643,,,78802,8:30:43,QC,amy,,,2018,15,107,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,End,,8:30:43
SL_2018CSEO_Dive_16_09-13-58.000.avi,433,9:14:14,33254,,,433,9:14:14,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,9:14:14
SL_2018CSEO_Dive_16_09-13-58.000.avi,1011,9:14:34,33274,,,1011,9:14:34,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,9:14:34
SL_2018CSEO_Dive_16_09-13-58.000.avi,1932,9:15:04,33304,,,1932,9:15:04,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,
SL_2018CSEO_Dive_16_09-13-58.000.avi,12796,9:21:07,33667,,,12796,9:21:07,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,9:21:07
SL_2018CSEO_Dive_16_09-13-58.000.avi,13069,9:21:16,33676,,,13069,9:21:16,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,
SL_2018CSEO_Dive_16_09-13-58.000.avi,24240,9:27:28,34048,,,24240,9:27:28,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,6,AD,Passing,,,9:27:28
SL_2018CSEO_Dive_16_09-13-58.000.avi,25037,9:27:55,34075,,,25037,9:27:55,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,9:27:55
SL_2018CSEO_Dive_16_09-13-58.000.avi,25625,9:28:14,34094,,,25625,9:28:14,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,8,AD,Passing,,,9:24:14
SL_2018CSEO_Dive_16_09-13-58.000.avi,25957,9:28:25,34105,,,25957,9:28:25,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,9,AD,Passing,,,9:28:25
SL_2018CSEO_Dive_16_09-13-58.000.avi,44182,9:38:33,34713,,,44182,9:38:33,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,10,AD,Passing,,,9:38:33
SL_2018CSEO_Dive_16_09-13-58.000.avi,44636,9:38:48,34728,,,44636,9:38:48,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,11,AD,Passing,,,
SL_2018CSEO_Dive_16_09-13-58.000.avi,58385,9:46:26,35186,,,58385,9:46:26,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,13,AD,Passing,,,
SL_2018CSEO_Dive_16_09-13-58.000.avi,62474,9:48:42,35322,,,62474,9:48:42,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,15,AD,Passing,,,9:48:42
SL_2018CSEO_Dive_16_09-13-58.000.avi,76489,9:56:30,35790,,,76489,9:56:30,QC,amy,,,2018,16,109,,,,,,Bad,loitering in same area,BLA,BLA,16,AD,Passing,,,9:56:30
SL_2018CSEO_Dive_16_09-13-58.000.avi,77968,9:57:19,35839,,,77968,9:57:19,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,17,AD,Passing,,,9:57:19
SL_2018CSEO_Dive_16_09-13-58.000.avi,82545,9:59:51,35991,,,82545,9:59:51,QC,amy,,,2018,16,109,,,,,,Good,Good Going Forward,GGF,GGF,18,AD,Passing,End,,9:59:52
SL_2018CSEO_Dive_17_10-42-53.000.avi,675,10:43:31,38611,,,675,10:43:31,QC,amy,,,2018,17,108,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,10:43:32
SL_2018CSEO_Dive_17_10-42-53.000.avi,32137,11:01:00,39660,,,32137,11:01:00,QC,amy,,,2018,17,108,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,switch due to current,
SL_2018CSEO_Dive_17_10-42-53.000.avi,68686,11:21:18,40878,,,68686,11:21:18,QC,amy,,,2018,17,108,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,End,,11:21:19
SL_2018CSEO_Dive_18_12-52-54.000.avi,236,12:53:17,46397,,,236,12:53:17,QC,amy,,,2018,18,110,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,12:53:17
SL_2018CSEO_Dive_18_12-52-54.000.avi,27436,13:08:24,47304,,,27436,13:08:24,QC,amy,,,2018,18,110,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,switch due to current,
SL_2018CSEO_Dive_18_12-52-54.000.avi,55916,13:24:13,48253,,,55916,13:24:13,QC,amy,,,2018,18,110,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,END,,13:24:13
SL_2018CSEO_Dive_19_15-18-13.000.avi,291,15:18:29,55109,,,291,15:18:29,QC,amy,,,2018,19,111,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,15:18:28
SL_2018CSEO_Dive_19_15-18-13.000.avi,78444,16:01:54,57714,,,78444,16:01:54,QC,amy,,,2018,19,111,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,End,,16:01:54
SL_2018CSEO_Dive_20_16-59-00.000.avi,414,16:59:20,61160,,,414,16:59:20,QC,amy,,,2018,20,112,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,16:59:20
