Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
,,6:44:12,14:44:12:20,14:44:12,,,ye,1,
,,6:46:25,14:46:25:28,14:46:25,,,ye,1,
,,6:49:35,14:49:35:03,14:49:35,,,lc,,
,,6:57:03,14:57:03:26,14:57:03,,,ye,1,
,,6:59:42,14:59:42:00,14:59:42,,,lc,,
,,7:06:06,15:06:06:05,15:06:06,,,tiger,,
,,7:08:09,15:08:09:00,15:08:09,,,ye,1,
,,7:09:04,15:09:04:07,15:09:04,,,lc?,,This fish was a few seconds before 
,,7:13:17,15:13:17:27,15:13:17,,E,,,
,,,,,,,,,
eykt_14,5/12/2017,7:53:16,15:53:16:12,15:53:16,,S,Blown halogen left side ,,
,,8:11:59,16:11:59:11,16:11:59,,,ye,1,
,,8:21:45,16:21:45:02,16:21:45,,,halibut,,
,,8:27:15,16:27:15:21,16:27:15,,E,,,
,,,,,,,,,
eykt_15,5/12/2017,9:54:55,17:54:55:23,17:54:55,,S,"No left Halogen, flooded.  Left LED pointed down as replacement while Halogen dries.  ",,
,,10:23:24,18:23:24:18,18:23:24,,,Tiger,,
,,10:26:23,18:26:23:08,18:26:23,,E,Extended 100m past line end due to 100m late start at beginning.,,
,,,,,,,,,
eykt_16,5/12/2017,11:05:09,19:05:09:17,19:05:09,,S,,,
,,11:10:59,19:10:59:20,19:10:59,,,ye (several?) ,1,
,,11:11:19,19:11:19:05,19:11:19,,,jye,,
,,11:17:39,19:17:39:27,19:17:39,,,jye,,
,,11:20:12,19:20:12:16,19:20:12,,,jye,,
,,11:20:20,19:20:20:28,19:20:20,,,lc,,
,,11:21:42,19:21:42:29,19:21:42,,,jye,,
,,11:22:17,19:22:17:20,19:22:17,,,ye,1,
,,11:22:41,19:22:41:25,19:22:41,,,jye,,
,,11:23:58,19:23:58:27,19:23:58,,,"lingcod, wolfeel?",,
,,11:25:19,19:25:19:16,19:25:19,,,ye,1,
,,11:27:38,19:27:38:12,19:27:38,,,fishing gear?,,
,,11:28:01,19:28:01:10,19:28:01,,,tiger,,
,,11:30:22,19:30:22:28,19:30:22,,,"ye, lc",1,
